search,non_terminals,derivation_rules,time,programs,queue,bank,seed
bee_search,1,11,9.63990930184739,1000000,180,1000000,1
beap_search,1,11,14.458687377710843,1000000,3320,1000000,1
heap_search,1,11,44.424187047970484,1000000,87758,1000000,1
cd4,1,11,9.333046947200623,1000000,171,1000000,1
cd16,1,11,9.003599634433609,1000000,430,1000000,1
cd64,1,11,9.451472870629921,1000000,1543,1000000,1
bee_search,1,17,9.756421032439023,1000000,310,1000000,1
beap_search,1,17,13.741071370594966,1000000,6922,1000000,1
heap_search,1,17,46.66322044302326,1000000,95285,1000000,1
cd4,1,17,9.494691665981012,1000000,698,1000000,1
cd16,1,17,9.192990384992342,1000000,1061,999999,1
cd64,1,17,9.24821018222262,1000000,2489,1000000,1
bee_search,1,23,9.865030496220212,1000000,408,1000000,1
beap_search,1,23,16.064839387951807,1000000,10863,1000000,1
heap_search,1,23,45.58773838257576,1000000,75321,1000000,1
cd4,1,23,10.15263268392555,1000000,1169,1000000,1
cd16,1,23,9.82318024328969,1000000,2451,1000000,1
cd64,1,23,9.70277175650768,1000000,4404,1000000,1
bee_search,1,29,10.253991073099915,1000000,528,1000000,1
beap_search,1,29,18.69549126791277,1000000,14863,999999,1
heap_search,1,29,46.71875495285171,1000000,73691,999999,1
cd4,1,29,10.870590472373188,1000000,1233,1000000,1
cd16,1,29,10.242336383703071,1000000,2487,1000000,1
cd64,1,29,10.511166740980736,1000000,4603,1000000,1
bee_search,1,35,10.12904190042194,1000000,581,1000000,1
beap_search,1,35,22.316620144795536,1000000,20970,999999,1
heap_search,1,35,45.48679978198798,1000000,67073,1000000,1
cd4,1,35,11.104679019426456,1000000,1311,1000000,1
cd16,1,35,10.546601963532515,1000000,2755,1000000,1
cd64,1,35,10.745414443867503,1000000,5440,1000000,1
bee_search,1,65,10.549392073022847,1000000,797,1000000,1
beap_search,1,65,24.02915467,1000000,18800,1000000,1
heap_search,1,65,42.31317674260563,1000000,52901,999999,1
cd4,1,65,13.42044004614525,1000000,1069,999999,1
cd16,1,65,12.651819186828241,1000000,2245,1000000,1
cd64,1,65,12.521359201668403,1000000,7092,1000000,1
bee_search,1,11,9.678995487580645,1000000,178,1000000,2
beap_search,1,11,13.938156370765661,1000000,5005,1000000,2
heap_search,1,11,50.289044274895396,1000000,159272,1000000,2
cd4,1,11,9.421380396467818,1000000,317,1000000,2
cd16,1,11,9.372842301118023,1000000,601,1000000,2
cd64,1,11,9.783829830969845,1000000,2364,1000000,2
bee_search,1,17,9.60907370296237,1000000,299,1000000,2
beap_search,1,17,14.670753554523225,1000000,8862,1000000,2
heap_search,1,17,45.16166305338346,1000000,88888,1000000,2
cd4,1,17,9.218420672043012,1000000,621,1000000,2
cd16,1,17,9.197933864291187,1000000,1082,999999,2
cd64,1,17,9.220245348694316,1000000,2906,1000000,2
bee_search,1,23,9.773428779723126,1000000,416,999999,2
beap_search,1,23,17.932787400447758,1000000,15398,999999,2
heap_search,1,23,42.93008983642857,1000000,80285,1000000,2
cd4,1,23,10.006092329333333,1000000,917,1000000,2
cd16,1,23,9.466135656466877,1000000,1688,999999,2
cd64,1,23,9.791070977243066,1000000,3332,1000000,2
bee_search,1,29,10.130708685738396,1000000,532,1000000,2
beap_search,1,29,20.197954730528053,1000000,15930,1000000,2
heap_search,1,29,44.321696473800735,1000000,72829,1000000,2
cd4,1,29,11.005209821998166,1000000,1144,1000000,2
cd16,1,29,10.776890177827648,1000000,2752,1000000,2
cd64,1,29,10.469110371142111,1000000,4309,1000000,2
bee_search,1,35,10.950096033120438,1000000,651,1000000,2
beap_search,1,35,22.800083832637572,1000000,21048,1000000,2
heap_search,1,35,45.59124705681818,1000000,71703,1000000,2
cd4,1,35,11.653511226796116,1000000,1092,1000000,2
cd16,1,35,10.534191193947368,1000000,2204,1000000,2
cd64,1,35,10.753423121684587,1000000,4601,1000000,2
bee_search,1,65,10.776236105475764,1000000,928,1000000,2
beap_search,1,65,25.377078222621567,1000000,18378,1000000,2
heap_search,1,65,42.64853256205674,1000000,50230,1000000,2
cd4,1,65,13.091311048527807,1000000,1000,1000000,2
cd16,1,65,13.109162784716158,1000000,2305,1000000,2
cd64,1,65,13.319657976310044,1000000,6503,1000000,2
bee_search,1,11,9.498139432832279,1000000,178,1000000,3
beap_search,1,11,16.98891269321075,1000000,6536,1000000,3
heap_search,1,11,44.630470045724906,1000000,108524,999999,3
cd4,1,11,9.397875959044637,1000000,206,1000000,3
cd16,1,11,9.38252683291634,1000000,494,1000000,3
cd64,1,11,9.5423044354531,1000000,1710,1000000,3
bee_search,1,17,10.17985291023642,1000000,295,1000000,3
beap_search,1,17,13.444723451959689,1000000,6371,1000000,3
heap_search,1,17,45.14576596766918,1000000,98567,1000000,3
cd4,1,17,9.85549347003284,1000000,865,1000000,3
cd16,1,17,9.000547125262369,1000000,1401,1000000,3
cd64,1,17,9.217615738678703,1000000,3023,1000000,3
bee_search,1,23,9.998945788925896,1000000,433,1000000,3
beap_search,1,23,13.778467478530427,1000000,6027,1000000,3
heap_search,1,23,45.3044730264151,1000000,97596,1000000,3
cd4,1,23,9.749066910316815,1000000,914,1000000,3
cd16,1,23,9.520492409040443,1000000,1758,1000000,3
cd64,1,23,9.547824378838504,1000000,3804,1000000,3
bee_search,1,29,10.086038638907564,1000000,545,1000000,3
beap_search,1,29,21.279286257978725,1000000,20349,1000000,3
heap_search,1,29,44.98892068501873,1000000,79959,1000000,3
cd4,1,29,10.676710966014234,1000000,1169,1000000,3
cd16,1,29,9.995566073855121,1000000,2141,1000000,3
cd64,1,29,10.158386132318105,1000000,6781,1000000,3
bee_search,1,35,10.66390411890477,1000000,643,1000000,3
beap_search,1,35,19.640229294762683,1000000,17130,1000000,3
heap_search,1,35,46.02560920687023,1000000,78497,1000000,3
cd4,1,35,10.808524893159316,1000000,1069,1000000,3
cd16,1,35,10.310629032474226,1000000,2299,1000000,3
cd64,1,35,10.625758870796458,1000000,5688,1000000,3
bee_search,1,65,10.575991816828193,1000000,859,1000000,3
beap_search,1,65,23.578796345972492,1000000,16110,999999,3
heap_search,1,65,40.799699686440675,1000000,43509,1000000,3
cd4,1,65,12.216383601729401,1000000,954,1000000,3
cd16,1,65,12.079812626861168,1000000,2285,1000000,3
cd64,1,65,12.1387919581007,1000000,5061,1000000,3
bee_search,1,11,9.60645073776,1000000,168,1000000,4
beap_search,1,11,17.969652249127048,1000000,5146,1000000,4
heap_search,1,11,43.821810301459855,1000000,80282,1000000,4
cd4,1,11,9.761646695772358,1000000,417,1000000,4
cd16,1,11,9.46687050197161,1000000,630,999999,4
cd64,1,11,9.797402625714286,1000000,2107,999999,4
bee_search,1,17,9.842520990983607,1000000,306,999999,4
beap_search,1,17,14.448431709747291,1000000,7491,1000000,4
heap_search,1,17,43.07301468709677,1000000,67836,1000000,4
cd4,1,17,9.659175719066774,1000000,747,1000000,4
cd16,1,17,9.084284871915216,1000000,1285,1000000,4
cd64,1,17,9.263300977469136,1000000,3631,1000000,4
bee_search,1,23,10.01695123397329,1000000,413,1000000,4
beap_search,1,23,17.752016124408282,1000000,12896,1000000,4
heap_search,1,23,44.632324460223046,1000000,64087,999999,4
cd4,1,23,10.217681158042552,1000000,923,1000000,4
