search,non_terminals,derivation_rules,time,programs,queue,bank,seed
heap_search,4,13,1.093096472,10000,10288,20001,1
heap_search,4,13,2.333231005,20000,20647,40001,1
heap_search,4,13,3.582582537,30000,30782,60001,1
heap_search,4,13,4.832409133,40000,40717,80001,1
heap_search,4,13,6.113352185,50000,51043,100001,1
heap_search,4,13,7.450847902,60000,61739,120001,1
heap_search,4,13,8.787443948,70000,71570,140001,1
heap_search,4,13,10.157177946,80000,81753,160001,1
heap_search,4,13,11.414637504,90000,92119,180001,1
heap_search,4,13,12.839346541,100000,101924,200001,1
heap_search,4,13,14.056800744,110000,112138,220001,1
heap_search,4,13,15.333853515,120000,122749,240001,1
heap_search,4,13,16.869138347,130000,133249,260001,1
heap_search,4,13,18.08322118,140000,142975,280001,1
heap_search,4,13,19.810736697,150000,153161,300001,1
heap_search,4,13,21.153021964,160000,163411,320001,1
heap_search,4,13,22.314430481,170000,173008,340001,1
heap_search,4,13,23.534604705,180000,182460,360001,1
heap_search,4,13,25.396893337,190000,192712,380001,1
heap_search,4,13,26.620722497,200000,202539,400001,1
heap_search,4,13,27.873307744,210000,213056,420001,1
heap_search,4,13,29.15849198,220000,224022,440001,1
heap_search,4,13,30.995501194,230000,234011,460001,1
heap_search,4,13,32.309753879,240000,244259,480001,1
heap_search,4,13,33.459470235,250000,253471,500001,1
heap_search,4,13,34.821715077,260000,264237,520001,1
heap_search,4,13,35.990802286,270000,274180,540001,1
heap_search,4,13,37.356389429,280000,285529,560001,1
heap_search,4,13,39.293751935,290000,295308,580001,1
heap_search,4,13,40.576406773,300000,305748,600001,1
heap_search,4,13,41.894810509,310000,315057,620001,1
heap_search,4,13,43.081472231,320000,324284,640001,1
heap_search,4,13,44.475495759,330000,334699,660001,1
heap_search,4,13,45.573630306,340000,343552,680001,1
heap_search,4,13,46.993551344,350000,354523,700001,1
heap_search,4,13,49.021392787,360000,364361,720001,1
heap_search,4,13,50.398184798,370000,375944,740001,1
heap_search,4,13,51.755821388,380000,385611,760001,1
heap_search,4,13,53.011271727,390000,394792,780001,1
heap_search,4,13,54.198919899,400000,404845,800001,1
heap_search,4,13,55.503250599,410000,414659,820001,1
heap_search,4,13,56.827145958,420000,423896,840001,1
heap_search,4,13,57.957570682,430000,432663,860001,1
heap_search,4,13,60.635758417,440000,443990,880001,1
heap_search,4,13,62.155415093,450000,455741,900001,1
heap_search,4,13,63.280941107,460000,464456,920001,1
heap_search,4,13,64.758955407,470000,476111,940001,1
heap_search,4,13,66.095780793,480000,486615,960001,1
heap_search,4,13,67.335707563,490000,497094,980001,1
heap_search,4,13,68.59760931,500000,506342,1000001,1
heap_search,4,13,69.981849056,510000,518114,1020001,1
heap_search,4,13,71.173511827,520000,527686,1040001,1
heap_search,4,13,72.448476294,530000,536551,1060001,1
heap_search,4,13,75.097351204,540000,546605,1080001,1
heap_search,4,13,76.238796079,550000,555612,1100001,1
heap_search,4,13,77.549789568,560000,565837,1120001,1
heap_search,4,13,79.143146583,570000,577636,1140001,1
heap_search,4,13,80.597485666,580000,588308,1160001,1
heap_search,4,13,81.742780085,590000,596859,1180001,1
heap_search,4,13,82.91650819,600000,607031,1200001,1
heap_search,4,13,84.261861925,610000,618132,1220001,1
heap_search,4,13,85.69637495,620000,629037,1240001,1
heap_search,4,13,86.926493289,630000,638938,1260001,1
heap_search,4,13,88.166858543,640000,648979,1280001,1
heap_search,4,13,89.520095766,650000,659745,1300001,1
heap_search,4,13,92.366695148,660000,668826,1320001,1
heap_search,4,13,93.627876502,670000,677850,1340001,1
heap_search,4,13,95.10582905,680000,687556,1360001,1
heap_search,4,13,96.413979345,690000,697759,1380001,1
heap_search,4,13,97.605049153,700000,706824,1400001,1
heap_search,4,13,98.879907701,710000,716822,1420001,1
heap_search,4,13,100.367407471,720000,727520,1440001,1
heap_search,4,13,101.808634112,730000,737581,1460001,1
heap_search,4,13,103.026489965,740000,746603,1480001,1
heap_search,4,13,104.374902934,750000,756489,1500001,1
heap_search,4,13,105.498478885,760000,765242,1520001,1
heap_search,4,13,107.082149941,770000,777664,1540001,1
heap_search,4,13,108.533116608,780000,788520,1560001,1
heap_search,4,13,109.908742729,790000,798433,1580001,1
heap_search,4,13,110.962070593,800000,806996,1600001,1
heap_search,4,13,112.279215758,810000,817012,1620001,1
heap_search,4,13,115.712055002,820000,827291,1640001,1
heap_search,4,13,117.179509673,830000,838110,1660001,1
heap_search,4,13,118.490813986,840000,848717,1680001,1
heap_search,4,13,119.66272546,850000,857572,1700001,1
heap_search,4,13,0.746528354,10000,3983,20001,2
heap_search,4,13,1.575782246,20000,7821,40001,2
heap_search,4,13,2.423658285,30000,11735,60001,2
heap_search,4,13,3.282198645,40000,15297,80001,2
heap_search,4,13,4.125010922,50000,19425,100001,2
heap_search,4,13,5.070428654,60000,23171,120001,2
heap_search,4,13,6.00807259,70000,26926,140001,2
heap_search,4,13,6.795252922,80000,30848,160001,2
heap_search,4,13,7.730278208,90000,34544,180001,2
heap_search,4,13,8.848733699,100000,38603,200001,2
heap_search,4,13,9.649337861,110000,41869,220001,2
heap_search,4,13,10.48002463,120000,46173,240001,2
heap_search,4,13,11.549927745,130000,49361,260001,2
heap_search,4,13,12.356315182,140000,52989,280001,2
heap_search,4,13,13.137274463,150000,57043,300001,2
heap_search,4,13,14.310656993,160000,60327,320001,2
heap_search,4,13,15.130287058,170000,64536,340001,2
heap_search,4,13,15.976800647,180000,68719,360001,2
heap_search,4,13,17.267126428,190000,72373,380001,2
heap_search,4,13,18.180493328,200000,76135,400001,2
heap_search,4,13,19.031739295,210000,79439,420001,2
heap_search,4,13,19.909985075,220000,83304,440001,2
heap_search,4,13,20.654662275,230000,86301,460001,2
heap_search,4,13,22.010876459,240000,90609,480001,2
heap_search,4,13,22.803519802,250000,93707,500001,2
heap_search,4,13,23.61972759,260000,98855,520001,2
heap_search,4,13,24.368678966,270000,101010,540001,2
heap_search,4,13,25.182865776,280000,104926,560001,2
heap_search,4,13,26.62871225,290000,109950,580001,2
