search,non_terminals,derivation_rules,time,programs,queue,bank,seed
heap_search,4,13,140.77164474418606,1000000,1008076,2000001,1
heap_search,6,21,105.46832855,1000000,576917,2000002,1
heap_search,8,29,108.46369604144144,1000000,587502,2000004,1
heap_search,10,37,117.3920289330097,1000000,723745,2000006,1
heap_search,4,13,96.04393558174603,1000000,373043,2000000,2
heap_search,6,21,114.46807909454735,1000000,553733,2000004,2
heap_search,8,29,99.39995372809918,1000000,341164,2000004,2
heap_search,10,37,103.74037698275862,1000000,545200,2000006,2
heap_search,4,13,100.93314519476353,1000000,324148,2000002,3
heap_search,6,21,100.54052627833335,1000000,514238,2000002,3
heap_search,8,29,113.80229381509434,1000000,740704,2000004,3
heap_search,10,37,101.26630442689076,1000000,562205,2000005,3
heap_search,4,13,93.62759086279071,1000000,501757,2000000,4
heap_search,6,21,98.67343424672131,1000000,564709,2000002,4
heap_search,8,29,101.14433713109244,1000000,568796,2000004,4
heap_search,10,37,108.78429076846848,1000000,715208,2000006,4
heap_search,4,13,95.60313366746031,1000000,484438,2000000,5
heap_search,6,21,100.34557935916668,1000000,614028,2000002,5
heap_search,8,29,102.45986448305084,1000000,648872,2000004,5
heap_search,10,37,94.8531764503937,1000000,508741,2000005,5
beap_search,4,13,20.808207510803115,1000000,40399,1999999,1
cd4,4,13,13.605045793513513,1000000,3001,2000631,1
cd16,4,13,13.564166916576577,1000000,6914,2000631,1
cd64,4,13,14.514393780288461,1000000,21920,2000117,1
beap_search,6,21,23.981643072222223,1000000,69362,2000000,1
cd4,6,21,15.756130365416668,1000000,19186,2000057,1
cd16,6,21,17.091294094318183,1000000,44629,2000012,1
cd64,6,21,16.238103594838712,1000000,68135,2000006,1
beap_search,8,29,29.701340688039217,1000000,96086,2000001,1
cd4,8,29,20.46415651445946,1000000,38327,1999999,1
cd16,8,29,19.530634929202957,1000000,82384,2000023,1
cd64,8,29,18.66822839,1000000,138269,2000002,1
beap_search,10,37,31.432596945600004,1000000,135225,1999999,1
cd4,10,37,23.67672287984375,1000000,69781,2000004,1
cd16,10,37,22.878380689545455,1000000,154206,2000001,1
cd64,10,37,22.578962483731342,1000000,219403,2000001,1
beap_search,12,45,32.34400229170213,1000000,114916,1999999,1
cd4,12,45,24.82634951459016,1000000,68705,2000000,1
cd16,12,45,23.875973927460315,1000000,154594,2000005,1
