search,non_terminals,derivation_rules,time,programs,queue,bank,seed
bee_search,4,11,20.784543806499553,1000000,1,3579959,1
beap_search,4,11,13.301798592469545,1000000,0,2000113,1
heap_search,4,11,41.15627593938356,1000000,1,2000000,1
cd4,4,11,12.02585401482966,1000000,1,2001052,1
cd16,4,11,12.301997105532788,1000000,1,2005392,1
cd64,4,11,11.907666939523805,1000000,0,2005199,1
bee_search,6,17,20.83456837569444,1000000,1,4232160,1
beap_search,6,17,12.797348207675904,1000000,1,2000001,1
heap_search,6,17,43.526542831159425,1000000,2,2000001,1
cd4,6,17,11.982250879341318,1000000,1,2000031,1
cd16,6,17,11.654471204375179,1000000,1,2000051,1
cd64,6,17,11.092929130314234,1000000,1,2000011,1
bee_search,8,23,24.796699633057855,1000000,2,5482530,1
beap_search,8,23,13.67788361287016,1000000,1,1999999,1
heap_search,8,23,42.15472316280702,1000000,4,2000001,1
cd4,8,23,12.25559690080612,1000000,1,2000010,1
cd16,8,23,11.491608431483254,1000000,2,2000007,1
cd64,8,23,11.76883550647059,1000000,2,2000008,1
bee_search,10,29,26.998433780697088,1000000,4,6080173,1
beap_search,10,29,15.35202197544757,1000000,2,1999999,1
heap_search,10,29,42.35841124894365,1000000,6,2000002,1
cd4,10,29,12.975712152324325,1000000,3,2000019,1
cd16,10,29,11.772916504019607,1000000,2,2000003,1
cd64,10,29,12.43932432,1000000,2,2000002,1
bee_search,12,35,32.12938654579154,1000000,5,7331616,1
beap_search,12,35,15.595243365324675,1000000,2,2000002,1
heap_search,12,35,45.587950520397456,1000000,7,2000004,1
cd4,12,35,12.733066876033934,1000000,3,2000024,1
cd16,12,35,13.334590896666667,1000000,3,1999999,1
cd64,12,35,12.64849425216017,1000000,3,2000010,1
bee_search,22,65,55.82308421936155,1000000,19,12980410,1
beap_search,22,65,21.31802258756661,1000000,7,1999999,1
heap_search,22,65,46.72139839727627,1000000,15,2000007,1
cd4,22,65,16.62766909903047,1000000,8,1999999,1
cd16,22,65,16.887188969338958,1000000,9,2000000,1
cd64,22,65,16.364347440054498,1000000,8,1999999,1
bee_search,4,11,16.77364380142995,1000000,0,3146000,2
beap_search,4,11,12.877006279291844,1000000,0,2000397,2
heap_search,4,11,81.929,1000000,600000,2200000,2
cd4,4,11,11.475596982217974,1000000,0,2002320,2
cd16,4,11,11.055599998987109,1000000,0,2000555,2
