solved,solution,programs,time,program_probability
False,,77,330.6950566410087,5906.303900375938
False,,2507,301.76098109793384,11244.088148389605
False,,17021,310.0808432130143,74487.19239409993
False,,934,303.84830523689743,2364.859528501716
False,,41370,300.3641668909695,8855.659397500724
False,(str2int var0),5,0.008270714082755148,21.41926588882119
False,,10614,303.2412926290417,3451.7767979831196
False,,1591,310.44946849893313,344.07705051902286
False,(contains var0 var2),4,0.00091933598741889,2.336950611995537
False,,165986,300.6810249759583,622.9540767321162
False,,4592,306.6430250860285,2729.273370491615
False,(firstindexof var0 (at var0 (firstindexof (concat   (lower var0)) var1))),499,18.43724842998199,100.38301654257545
False,,6045,303.8031947730342,31548.203568074012
False,,9091,304.238333835965,18743.066934916093
False,,25597,311.08409686398227,119467.08358470275
False,(concat var1 (concat   var0)),126,0.35987811407539994,429.5129509789489
False,(concat var0 (concat   var1)),62,0.32198085298296064,539.4501157522893
False,,966,315.68275782302953,26622.105941404312
False,,865,326.43239344493486,30275.343796468373
False,,4922,301.1143259690143,518.3027199256277
False,,6232,302.25185928307474,22719.116133881835
False,,116,311.6977167050354,19499.087313672666
False,,8910,316.9955313280225,60690.49236910774
False,,1321,301.8304341179319,17339.36331901835
False,,13134,301.6846806620015,3416.2929053196203
False,,1362,301.44612261792645,64332.843397638295
False,,288676,300.89483404997736,26.406238233266834
False,(concat ( (replace var0 - (concat )  ))),3779,177.92722203605808,38971.294590412544
False,(concat (concat var0  ) var1),123,0.3454548369627446,429.5128628996957
False,,5556,304.2377315519843,25994.974190790417
False,,797,301.5791373309912,21802.205499620854
False,,8910,303.2124888350954,60690.49236910774
False,(at (concat   var0) var1),51,0.052316572051495314,277.2808557850117
False,(replace var0 (substr (concat   var0) 1 var1) ),2418,219.283783143037,40151.43551077877
False,(substr var0 4 (+ 5 2)),370,52.767338256002404,4284.34193872043
False,,6706,300.0295329199871,81978.77520579394
False,(substr var0 1 (firstindexof var0  )),70,0.058951716986484826,79.68429198371875
False,(len var0),6,0.010608621989376843,22.086231535846373
False,,3597,304.0860272439895,8307.867617934753
False,,114658,301.0769737310475,26443.22682502342
False,(substr var0 1 (firstindexof var0  )),70,0.35293262999039143,79.68429198371875
False,"(concat var0 (concat (concat ,  ) var1))",6644,50.82498284603935,8532.692221849675
False,(concat var1 (concat   var0)),126,0.3575492990203202,429.5128628996957
False,"(substr (concat , var0) 1 (firstindexof var0 Inc))",7473,23.35286536195781,1340.832905246934
False,,9450,317.12954357708804,9333.022110349928
False,,352845,300.1599952939432,33473.730299844035
False,(substr (concat   var0) 1 4),75,1.5346573679707944,1299.0116923904673
False,(concat ( (replace var0 - (concat )  ))),3424,137.16999327891972,38971.294590412544
False,,7092,300.0827982639894,5617.167055417505
False,,10642,300.45752830593847,2807.1588395899057
False,,114,307.72101486998145,4127.716770814208
False,,34061,302.3458618419245,16587.010405162364
False,,61516,304.6675342610106,98118.47321221218
False,,1366,305.640178681002,21802.203349149237
False,,288676,303.9903741379967,26.406238233266834
False,,1031,321.4690255499445,2024.0959974734499
False,,122436,300.41019515902735,29745.400225281435
False,,4257,306.1309368410148,18101.12810133064
False,,1713,304.3556227310328,344.07705051902286
False,(substr (concat 5 var0) 1 (firstindexof var0 1)),6799,5.3312417949782684,1443.697311555286
False,,113962,300.00012859900016,1180.1435586380258
False,(replace (replace var0   -)   -),129,20.291987216100097,5503.44512180364
False,,3953,305.97800561599433,573.4663620573001
False,,2938,316.93403141596355,2024.0959974734496
False,,63,307.4822538570734,3442.059646591572
False,,3435,304.2763808359159,3757.73150582018
False,,5680,307.17716168100014,20051.558793869815
False,,114588,302.13263406802434,4001.400375529294
False,,1899,318.7741602930473,2024.09615544057
False,,9146,306.637404426001,14638.221286816215
False,,3819,301.7045777399326,1590.8839302340782
False,(substr (concat   var0) 1 4),72,1.15751723095309,1299.0116895740673
False,,1830,300.9819590020925,12087.048551661868
False,(replace (replace var0 - .) - .),1005,12.265103874960914,9631.917000226957
False,,16678,303.4415907799266,1909.4522097959484
False,,3474,301.26319655799307,20546.95827108988
False,,5041,301.92871601099614,8308.452024475853
False,,45344,309.22085668193176,33611.316080871875
False,,10646,302.3271242409246,3451.7767979831196
False,,6349,307.44596273393836,1444.7996115294302
False,,270,339.54322563298047,1291.3489870126928
False,,9454,301.1719374509994,68954.14236643523
False,,2032,306.9853312720079,1472.715418875826
False,,138397,300.0000063519692,1180.144212324824
False,,12768,300.18955484603066,6189.727994957735
False,(substr var0 (firstindexof (concat + var0)  ) (firstindexof var0 -)),2285,22.655298028956167,897.9415414768488
False,,3661,319.8242722589057,26237.279407236143
False,(concat var1 (concat   var0)),126,0.6477638849755749,429.5128628996957
False,(substr (concat var0 var0) var1 (len var0)),1098,55.02147421101108,5710.662680403896
False,(concat var1 (concat   var0)),126,0.61596552899573,429.5128628996957
False,(contains var0 var1),2,0.0005354470340535045,1.6540707271250887
False,,67821,309.77871957805473,16131.133371066231
False,(concat ( (replace var0 - (concat )  ))),3779,168.2048498300137,38971.294590412544
False,,1522,310.8166293189861,25641.38331623979
False,,6013,353.7003596739378,49291.574446760904
False,,110510,300.3361388409976,356.4672015065045
False,,1032,304.04575661802664,22409.50182594292
False,(replace (replace var0 - .) - .),1044,23.74283191107679,9631.917000226957
False,(substr (concat (concat   var0) var0) 1 var1),1011,47.881705416948535,14748.745940413537
False,(indexof var0  (* var2 -1)),131,62.86247000203002,2782.4699130800436
False,(contains var0 var1),2,0.0006138099124655128,1.6540707271250887
False,(substr var0 4 (+ 5 2)),452,62.184567310032435,4284.341600332742
False,,228,303.89611414598767,1013.5443751232257
False,(> 0 (firstindexof var0 overhead)),14,0.026054998976178467,22.78334895233549
False,,163939,300.1645650920691,21.665859261511375
False,(concat ( (replace var0 - (concat )  ))),3424,133.53103070496581,38971.294590412544
False,,10122,300.21394119004253,12015.180606924558
False,,7030,300.00403628102504,14232.21724472642
False,,1734,314.4013095290866,10688.357347966228
False,,2847,301.5983153609559,3164.434710748743
False,(replace (replace var0 - .) - .),1005,12.971906935912557,9631.917000226957
False,,4947,308.524250262999,344.07705051902286
False,,10646,302.7436034301063,3451.7767979831196
False,,3953,312.6562300029909,573.4663620573001
False,(contains var0 var1),2,0.0007010389817878604,2.3369487969552307
False,,6047,304.36785026604775,6800.277877651799
False,,7282,300.1517613839824,17339.36331901835
False,,175,329.4236144009046,257.83074481692813
False,,4966,327.62215485202614,10688.354060210357
False,(substr (concat   var0) 1 (firstindexof var0 -)),1561,3.3365962950047106,1088.415789294252
False,(concat (concat var0  ) var1),123,0.3533576949266717,429.5128628996957
False,(concat (concat var0  ) var1),123,0.6680816099978983,429.5128628996957
False,(substr var0 1 (firstindexof var0  )),70,0.348137820023112,79.68429198371875
False,(firstindexof var0 (at (substr var0 1 (firstindexof var0 var1)) 1)),421,69.88609469204675,570.8609949103355
False,(contains var0 var1),2,0.0006839849520474672,2.3369487969552307
False,(concat (concat var0  ) var1),123,0.633217349066399,429.5129509789489
False,,3757,306.9202862200327,9020.593869853714
False,,7065,301.2133611990139,15749.738204214358
False,,3752,300.1852367229294,5347.847149262845
False,,2850,304.28576376789715,8079.286357371345
False,,107,322.75320632895455,5906.3069020309895
False,(substr var0 (firstindexof (concat + var0)  ) (firstindexof var0 -)),2449,42.13695552595891,897.9417295094178
False,,110993,301.0730207869783,18166.16248071578
False,(replace var0 (replace var0 var2 var0) var1),2469,25.034109106985852,4309.302260470775
False,(replace (replace var0 var1 ) var1 ),596,8.631850612000562,4103.232714417749
False,(substr var0 4 (+ 5 2)),452,59.423388571012765,4284.341600332742
False,,3591,307.2899518869817,27750.43308558052
False,(contains var0 9999999),3,0.0007198519306257367,1.7663959726193947
False,(substr (concat   var0) 1 4),75,1.594469841918908,1299.0116923904673
False,(substr var0 4 (+ 5 2)),370,52.995819764910266,4284.34193872043
False,,6317,300.0669352449477,26245.375384493356
False,,266868,300.4156627469929,2308.042214908559
False,,8897,314.7341914329445,696.375148805911
False,,1321,305.7089074579999,12087.048551661868
False,,9220,302.2548904019641,837.3252774193846
False,,121191,300.17652022105176,3750.5545494128637
False,,9507,301.8458968369523,6045.241456940705
False,,166404,303.71005695010535,17747.967042730827
False,,116569,303.14564742101356,27143.3711209434
False,,35689,300.52965077897534,6916.858911722799
False,,8910,308.6465898359893,60690.49236910774
False,,7037,301.0742619789671,22719.116133881835
False,,24633,300.0211087820353,10230.126540874207
False,,15761,301.32428744097706,25954.369286348603
False,,374,329.6467002000427,3744.875893111227
False,,1429,311.04776688700076,8843.913034710366
False,,9507,302.4406801830046,6045.242359779135
False,,3187,304.75010817998555,37060.634951051215
False,,125689,300.10677831992507,363.7919015657732
False,,60252,300.00137750594877,24698.334302807063
False,,8910,305.6029353439808,60690.49236910774
False,(substr var0 1 (firstindexof var0  )),70,0.06205029389820993,79.68428364061492
False,,2880,306.67081838089507,5347.847149262845
False,,9450,327.55979540897533,9333.022110349928
False,,1122,333.85444028198253,30275.343796468373
False,(contains var0 var3),3,0.0010370910167694092,2.3369524270403814
False,,6,1781.9100547280395,324196.00207265874
False,(replace var0 (replace that var0  ) ),511,10.381150722969323,3725.7890943086036
False,(replace var0 (lower var0) var1),67,0.017495475010946393,38.13571763109813
False,,4974,306.02606595598627,8308.45475125935
False,,9219,300.0864966949448,1399.6367690504933
False,,8910,304.53345524007455,60690.49236910774
False,,418,321.30198989401106,25641.38331623979
False,,136997,300.05258297896944,1931.3043564264135
False,,2922,315.30343044595793,11949.373580946465
False,,865,302.4758741289843,30275.343796468373
False,,4662,332.979424854042,4674.652665418498
False,(replace var0 (substr var0 1 (firstindexof var0  )) ),450,5.654096373007633,1502.0019259411335
False,(substr var0 (firstindexof (concat + var0)  ) (firstindexof var0 -)),2449,38.96379736403469,897.9417295094178
False,,15393,301.27134536299855,33292.31608185562
False,,127391,300.00002062297426,7681.642169259323
False,,9431,301.8340385740157,5435.42630021859
False,,177756,300.4503303170204,2194.8570082269157
False,(replace (replace var0 - .) - .),1044,21.107319751987234,9631.917000226957
False,,175434,300.04601909103803,4018.406767300086
False,"(concat var0 (concat (concat ,  ) var1))",6644,48.98349676502403,8532.694846520304
False,,117020,302.1760250480147,1084.6912525814084
False,(substr var0 (firstindexof (concat + var0)  ) (firstindexof var0 -)),2285,22.373663627076894,897.9415414768488
False,"(concat var0 (concat (concat ,  ) var1))",10613,58.711914847022854,8532.692221849675
False,,3423,300.4980127910385,30275.356213465275
False,(contains (replace var0 2 5) 5),7,0.39946425904054195,168.30901007482328
False,,9431,302.7648047429975,5435.4266826798585
False,"(concat var0 (concat (concat ,  ) var1))",10613,57.714133249013685,8532.692221849675
False,,1740,300.70559526397847,1644.9376941398555
False,,7227,348.40954923897516,557.8710869691157
False,,1122,312.3927504309686,30275.343796468373
False,(replace var1 (replace var1 var2 var0) var0),1218,22.650703652994707,4309.304164996878
False,(replace (replace var0 - ) - ),133,19.414889242965728,5503.44512180364
False,(substr (concat   var0) 1 var1),172,0.851271647028625,1377.3260002498112
False,,9470,305.78559768397827,15532.489585674712
False,,3825,310.15396265196614,15768.921510047623
False,,4504,300.23868659499567,3528.902269435896
False,(replace var0 - ),17,0.012757256045006216,112.57063488307593
False,,10223,301.5700687150238,9333.022110349928
False,(contains var0 var1),2,0.0006052079843357205,1.6540707271250887
