solved,solution,programs,time,program_probability
False,,420,301.50601066311356,6.512141112710322e+28
False,,26171,300.18059072992764,5.0910133280803945e+26
False,,104242,300.12499121110886,3.2557630847600124e+34
False,(firstindexof var1 (at var0 (* 2 (* 2 (firstindexof var0 (at var1 3)))))),2239,5.202766782022081,9.774288560208347e+27
False,,137648,300.33559246594086,7.298237780699102e+25
False,(str2int var0),5,0.010413720970973372,226320.0
False,,54848,302.3237092780182,2.9609023684139828e+22
False,,6262,300.35449703002814,3.351719942522266e+26
False,(contains var0 var2),4,0.0034998219925910234,21741651.0
False,,334562,300.0000044889748,1.1979578676838317e+27
False,,54552,300.0165953929536,7.101702630864798e+33
False,(firstindexof var0 (at var0 (firstindexof (concat   (lower var0)) var1))),666,15.173538201022893,8.27484935983861e+23
False,,97945,300.84760046494193,4.845742195929927e+36
False,,87177,301.1804961549351,3.7415705480954295e+29
False,,86220,302.7146321469918,1.560152936325635e+28
False,(concat var1 (concat   var0)),377,0.21995445701759309,8652036627000.0
False,(concat var0 (concat   var1)),113,0.14535347395576537,10895157234000.0
False,,2658,301.35824368998874,7.103915017846312e+27
False,(substr (replace var0 (at var0 4) var0) (* 4 3) (* 5 3)),20647,83.98038360895589,4.105757853191446e+29
False,,56458,300.23816226492636,1.1597021166680468e+29
False,,4365,300.107997789979,7.071655824157978e+20
False,,705,302.89848430396523,2.6567659672135747e+30
False,,14910,302.0679220239399,2.539530084895232e+22
False,,1903,300.5594392149942,4.2779510192639885e+26
False,,122322,300.2993395739468,2.5062820704865154e+36
False,,1927,300.0230412869714,1.036763841634938e+28
False,,336411,309.9404095710488,1.76155433002692e+16
False,,12980,301.7789501909865,1.0928288137320858e+22
False,(concat var0 (concat   var1)),361,0.2234387669013813,8652036627000.0
False,,22120,300.13022958592046,1.1881041564647976e+33
False,,39637,300.0690243419958,1.4080150957994621e+29
False,,14910,301.887532506953,2.539530084895232e+22
False,(at (concat   var0) var1),42,0.04616600996814668,272655169800.0
False,(replace var0 (substr (concat   var0) 1 var1) ),8333,100.12487615598366,8.22819651553328e+22
False,(substr (concat   var0) 5 (* 2 4)),2001,5.3714426750084385,2.79669552674304e+19
False,,82290,300.1345896560233,3.508949385725968e+24
False,(substr var0 1 (firstindexof var0  )),501,0.7367243720218539,1091050904320000.0
False,(len var0),6,0.010499557014554739,225860.0
False,,2910,300.0168042270234,7.071655824157978e+20
False,,171772,301.56035525293555,4.153835099041056e+19
False,(substr var0 1 (firstindexof var0  )),618,7.072752068983391,1091050904320000.0
False,"(concat var0 (concat , (concat   var1)))",43348,35.640880211954936,2.45598634368828e+18
False,(concat var1 (concat   var0)),377,0.22541343804914504,8652036627000.0
False,(substr (concat   var0) 1 (firstindexof var0 Inc)),16074,31.637462023994885,2.6112123220218515e+20
False,,193694,300.0751670639729,9.246408023578533e+26
False,,233233,300.9987483470468,1.9261460174793485e+30
False,(substr (concat   var0) 1 4),859,15.813326016999781,2570492212080000.0
False,(concat ( (replace var0 - (concat )  ))),21352,131.80691286502406,8.158284458973463e+20
False,,16647,300.14478974894155,9.865748907776867e+26
False,,56975,300.019074853044,4.806746131168086e+29
False,(suffixof var0 (at yellow (* (firstindexof var0 yellow) (firstindexof var0 pink)))),116,101.13271473592613,2.4776771160649566e+25
False,,76190,300.56717428099364,1.095553218810422e+26
False,,164734,300.1531385410344,9.412002749628558e+26
False,,46882,300.0891616579611,5.689455775412495e+29
False,,336123,301.9641933559906,1.76155433002692e+16
False,,2682,300.721489849966,1.609671080733688e+30
False,,377451,300.1284890420502,3.248459961072976e+31
False,,53754,308.4785251310095,9.217688274245647e+36
False,,7794,301.71713602298405,7.103915017846312e+27
False,(substr (concat   var0) 1 (firstindexof var0 1)),12396,22.466555926017463,2.8062559788846337e+20
False,,114253,307.61258198099677,3.729972494272587e+26
False,(replace (replace var0   -)   -),144,2.40776358905714,5.9504369408e+17
False,(substr (replace var0   var0) (firstindexof var0  ) (* 2 (firstindexof var0  ))),19497,197.2908516509924,5.547498901567786e+30
False,,11520,303.74135609006044,1.1530410188979252e+28
False,,249,363.859944205964,3.962808760066858e+26
False,,2821,301.45461828797124,7.071655824157978e+20
False,,7974,301.46403240808286,3.0139406910320227e+29
False,,170660,300.00261100102216,1.3568066663629418e+24
False,,6556,300.18438610993326,1.759996246040272e+30
False,,87382,300.0291859660065,1.9675575588145154e+24
False,,54401,300.06781994597986,5.38271989882504e+32
False,(substr (concat   var0) 1 4),549,1.3519846700364724,2570492212080000.0
False,(substr (concat _ var1) 1 (firstindexof (concat   var1) _)),91977,159.76874153700192,7.825854064785528e+25
False,(replace (replace var0 - .) - .),1676,5.991850120015442,1.040735139969008e+18
False,,185971,301.03438147099223,5.695268671732371e+29
False,,102393,300.00820143707097,9.899233451244426e+35
False,,18285,300.1907456580084,4.974831939056646e+25
False,,38288,300.0006853999803,1.6776622765102257e+28
False,,54164,300.0010770590743,1.2756844804884914e+34
False,,17761,300.00391626392957,1.731587870854167e+25
False,(firstindexof (replace var1 (at var1 1)  ) (at var0 1)),139,0.41623193002305925,3.7728579859027203e+22
False,,87494,300.87421880394686,1.0360754084230697e+29
False,,18975,300.04413054010365,1.416141709104992e+33
False,,108397,300.03116767900065,4.81587966254304e+18
False,,60924,300.0055483810138,4.984776790767324e+25
False,,87304,300.0987272700295,1.391153798618743e+30
False,,39008,302.53977842989843,4.3279892881210853e+23
False,(concat var1 (concat   var0)),528,1.9870645650662482,8652036627000.0
False,(substr (concat var0 var0) var1 (len var0)),3706,47.9630127690034,1.15511604960804e+18
False,(concat var1 (concat   var0)),528,1.9860831829719245,8652036627000.0
False,(contains var0 var1),3,0.0014143669977784157,15381900.0
False,,351477,300.54907530208584,1.1454586916540302e+29
False,,12980,306.55471571406815,1.0928288137320858e+22
False,,6328,309.19472922198474,2.5363021053517873e+30
False,,8166,300.1777026669588,3.6866899029943594e+24
False,,168427,300.0116433359217,1.3568066663629418e+24
False,,4030,300.2642973489128,1.609671080733688e+30
False,(replace (replace var0 - .) - .),2951,60.92814203700982,1.040735139969008e+18
False,(substr (replace var0 (at var0 1) var0) 1 var1),1533,9.814837687998079,3.3952616059092017e+21
False,(indexof var0  (* var2 -1)),141,0.41168328397907317,167738399424000.0
False,(contains var0 var1),3,0.0011228149523958564,15381900.0
False,(substr (concat   var0) 5 (* 2 4)),3589,71.11192294408102,2.79669552674304e+19
False,,1583,301.4640063859988,2.3123223665473254e+22
False,(prefixof var0 (at var0 (firstindexof var0 (at overhead 1)))),15,0.33230879402253777,3.4273717156224e+18
False,,148062,300.00059713004157,4.728434140602799e+26
False,(concat ( (replace var0 - (concat )  ))),21352,132.19466843293048,8.158284458973463e+20
False,,241088,300.1830125730485,2.878795704853953e+33
False,,19274,300.2822975879535,4.473217864280743e+28
False,,172348,300.02909070893656,1.8815649083479964e+27
False,(substr (concat var0 var0) (firstindexof (concat (at var0 1) var0)  ) (len var0)),102192,260.76142128999345,6.298967252891707e+31
False,(replace (replace var0 - .) - .),1676,5.956336535979062,1.040735139969008e+18
False,,14984,300.1493153839838,5.517898668539888e+31
False,,53585,300.00337476294953,1.2756844804884914e+34
False,(substr (replace var0   var0) (firstindexof var0  ) (* 2 (firstindexof var0  ))),19497,194.034695741022,5.547498901567786e+30
False,(prefixof var0 var1),3,0.001504919957369566,1442574.0
False,,97948,303.16453777009156,4.170652744699756e+31
False,,5864,300.56690274504945,2.8026497290237403e+24
False,(indexof (concat   var0) _ (* var1 (firstindexof var0  ))),3643,17.472682408988476,1.601200824085724e+24
False,,56458,302.513588464004,1.1597021166680468e+29
False,(substr (concat   var0) 1 (firstindexof var0 -)),2573,22.079201095039025,2.1139329481380862e+20
False,(concat var0 (concat   var1)),361,0.25636550004128367,8652036627000.0
False,(concat var0 (concat   var1)),518,2.1047104370081797,8652036627000.0
False,(substr var0 1 (firstindexof var0  )),618,7.118792230961844,1091050904320000.0
False,(firstindexof var0 (at (substr var0 1 (firstindexof var0 var1)) 1)),428,7.461878903093748,5.294277913689217e+23
False,(contains var0 var2),4,0.0029105020221322775,21741651.0
False,(concat var0 (concat   var1)),512,1.9746018450241536,8652036627000.0
False,(substr (replace var0   var0) (firstindexof var0  ) (* 2 (firstindexof var0  ))),9039,45.29202648298815,5.547498901567786e+30
False,,19694,300.00422853103373,6.650099835325063e+21
False,(substr (replace var0   var0) (firstindexof var0  ) (* 2 (firstindexof var0  ))),9039,44.63851313502528,5.547498901567786e+30
False,(substr (concat var0 var0) (firstindexof (concat (at var0 1) var0)  ) (len var0)),102192,260.5957436549943,6.298967252891707e+31
False,,376,300.40404446900357,7.71310827436032e+19
False,,14504,301.51983749493957,7.683232838664848e+23
False,,171772,300.1578406399349,4.153835099041056e+19
False,(replace var0 (replace var0 var2 var0) var1),684,0.9348028750391677,4.626592980502064e+17
False,(replace (replace var0 var1 ) var1 ),233,0.3486120729940012,4.4050868928e+17
False,(substr (concat   var0) 5 (* 2 4)),3589,70.39800192904659,2.79669552674304e+19
False,,2932,300.0691668459913,6.142100883636024e+28
False,(contains var0 9999999),4,0.0018382429843768477,16500200.0
False,(substr (concat   var0) 1 4),859,15.794038633001037,2570492212080000.0
