solved,solution,programs,time,program_probability
False,,38,303.60441446607,2.6974168703767197e-10
False,,332,333.53657308698166,1.9831272389905773e-10
False,,1036,327.68929642799776,1.0746695880403843e-10
False,,199,303.8631303899456,1.9864741064113712e-10
False,,1591,336.500712743029,2.884885015351012e-10
False,(str2int var0),4,0.0013207619776949286,0.00178062904615763
False,,577,348.4813541319454,1.581886451689202e-09
False,,216,334.7125717320014,1.8889190813776075e-10
False,(contains var0 var2),4,0.0189762229565531,9.767434379748138e-07
False,,2575,303.2223610470537,4.127004349566234e-10
False,,462,325.1147574830102,1.834700847566712e-10
False,,169,382.8631515529705,1.557082356385182e-10
False,,429,309.0573094219435,3.3934153482168364e-10
False,,382,301.20377914002165,3.77120070760236e-10
False,,361,406.85708132293075,1.4435248362154663e-10
False,(concat (concat var1  ) var0),190,9.768983113928698,1.2655124423896379e-08
False,(concat (concat var0  ) var1),121,11.150894992984831,6.3275622119481896e-09
False,,199,333.69125337398145,1.7627815307731546e-10
False,,246,763.5833777999505,1.0192792679274407e-10
False,,511,307.1097434760304,1.8238584334710885e-09
False,,193,312.90572751290165,1.7627815307731546e-10
False,,45,329.44447973696515,8.999256686927591e-11
False,,159,338.7856301169377,3.4954006428561795e-09
False,,170,314.7788237889763,1.7627815307731546e-10
False,,650,356.50257877097465,1.1901526402302007e-10
False,,172,312.57304051099345,1.888919081377608e-10
False,,3675,387.31287690310273,3.5991608229512484e-10
False,,130,346.5130943249678,3.4953906424490297e-09
False,(concat (concat var0  ) var1),189,9.883943128981628,1.2655124423896379e-08
False,,454,304.87805911898613,2.7596426022361194e-10
False,,162,313.7199814490741,1.834700847566712e-10
False,,159,341.27190427691676,3.4953906424490297e-09
False,(at (concat   var0) var1),31,0.19316513906233013,1.1596114324679722e-06
False,,486,307.997485770029,1.9831272389905773e-10
False,,246,761.8786449559266,1.0192792679274407e-10
False,,316,433.905248585972,2.293378352836742e-10
False,(substr var0 1 (indexof var0   0)),272,112.29816507792566,1.0131747385743428e-09
False,(len var0),7,0.2496092120418325,9.947005356388607e-07
False,,177,311.11938384198584,1.7627815307731546e-10
False,,1701,330.6489349839976,6.839482170781108e-10
False,,159,343.1788453399204,3.4953906424490297e-09
False,,893,306.7389425470028,2.8556470535718555e-10
False,(concat (concat var1  ) var0),190,9.811135952011682,1.2655124423896379e-08
